,project,R1,R5,R10,R50,R100
0,jOOQ,0.6657,0.1308,0.0171,0.0000,0.0000
1,dropwizard,0.9325,0.7050,0.4970,0.0303,0.0009
2,findbugs,0.4577,0.0201,0.0004,0.0000,0.0000
3,tomee,0.6649,0.1300,0.0169,0.0000,0.0000
4,logging-log4j2,0.7131,0.1844,0.0340,0.0000,0.0000
5,mybatis-3,0.8822,0.5344,0.2856,0.0019,0.0000
6,takes,0.8812,0.5312,0.2822,0.0018,0.0000
7,freeplane,0.6236,0.0943,0.0089,0.0000,0.0000
8,shardingsphere,0.3697,0.0069,0.0000,0.0000,0.0000
9,zeppelin,0.7784,0.2857,0.0816,0.0000,0.0000
10,guava,0.8054,0.3389,0.1148,0.0000,0.0000
11,hbase,0.4459,0.0176,0.0003,0.0000,0.0000
12,flink,0.4140,0.0122,0.0001,0.0000,0.0000
13,opennlp,0.9493,0.7708,0.5941,0.0740,0.0055
14,maven,0.6853,0.1512,0.0229,0.0000,0.0000
15,phoenix,0.7580,0.2503,0.0626,0.0000,0.0000
16,presto,0.6293,0.0987,0.0097,0.0000,0.0000
17,jspwiki,0.8718,0.5035,0.2535,0.0010,0.0000
18,lucene,0.3481,0.0051,0.0000,0.0000,0.0000
19,pdfbox,0.6681,0.1331,0.0177,0.0000,0.0000
20,kotlin,0.0288,0.0000,0.0000,0.0000,0.0000
21,skywalking,0.7167,0.1891,0.0357,0.0000,0.0000
22,htmlunit,0.5676,0.0589,0.0035,0.0000,0.0000
23,redisson,0.6938,0.1608,0.0259,0.0000,0.0000
24,BiglyBT,0.7202,0.1937,0.0375,0.0000,0.0000
25,hazelcast,0.3663,0.0066,0.0000,0.0000,0.0000
26,error-prone,0.7836,0.2955,0.0873,0.0000,0.0000
27,castor,0.8961,0.5777,0.3337,0.0041,0.0000
28,tomcat,0.3853,0.0085,0.0001,0.0000,0.0000
29,checkstyle,0.7614,0.2559,0.0655,0.0000,0.0000
30,jasperreports,0.7527,0.2417,0.0584,0.0000,0.0000
31,commons-collections,0.9223,0.6674,0.4455,0.0175,0.0003
32,xalan-java,0.8432,0.4263,0.1817,0.0002,0.0000
33,SimianArmy,0.9563,0.7998,0.6398,0.1072,0.0115
34,poi,0.6277,0.0974,0.0095,0.0000,0.0000
35,byte-buddy,0.8660,0.4870,0.2372,0.0008,0.0000
36,junit5,0.8406,0.4196,0.1761,0.0002,0.0000
37,velocity-engine,0.8917,0.5639,0.3180,0.0033,0.0000
38,junit4,0.9644,0.8340,0.6956,0.1629,0.0265
39,antlr3,0.9462,0.7585,0.5754,0.0631,0.0040
40,commons-io,0.9294,0.6934,0.4808,0.0257,0.0007
41,xerces2-j,0.7681,0.2674,0.0715,0.0000,0.0000
42,giraph,0.9310,0.6996,0.4894,0.0281,0.0008
43,java-design-patterns,0.9327,0.7057,0.4981,0.0307,0.0009
44,derby,0.6281,0.0977,0.0095,0.0000,0.0000
45,hadoop,0.3053,0.0027,0.0000,0.0000,0.0000
46,hsqldb,nan,nan,nan,nan,nan
47,jackson,0.9557,0.7973,0.6358,0.1039,0.0108
48,j2objc,0.7747,0.2790,0.0778,0.0000,0.0000
49,zuul,0.9534,0.7877,0.6205,0.0919,0.0085
50,opengrok,0.8000,0.3278,0.1074,0.0000,0.0000
51,bc-java,0.6941,0.1612,0.0260,0.0000,0.0000
52,cayenne,0.8474,0.4371,0.1910,0.0003,0.0000
53,tinker,0.9398,0.7330,0.5372,0.0448,0.0020
54,gson,0.9518,0.7813,0.6104,0.0848,0.0072
55,storm,0.7687,0.2685,0.0721,0.0000,0.0000
56,gora,0.9656,0.8396,0.7049,0.1740,0.0303
57,hibernate-orm,0.5000,0.0312,0.0010,0.0000,0.0000
58,zookeeper,0.9047,0.6061,0.3673,0.0067,0.0000
59,graal,0.0824,0.0000,0.0000,0.0000,0.0000
60,angel,0.8219,0.3752,0.1407,0.0001,0.0000
61,truth,0.9495,0.7719,0.5958,0.0751,0.0056
62,bitcoinj,0.8472,0.4364,0.1905,0.0003,0.0000
63,picasso,0.9766,0.8884,0.7893,0.3063,0.0938
64,accumulo,0.6761,0.1413,0.0200,0.0000,0.0000
65,cglib,0.9807,0.9073,0.8232,0.3781,0.1430
