,project,GitHub,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
0,cglib,https://github.com/cglib/cglib.git ,0.9807,0.9073,0.8232,824.0,986.0,3887.0,29.0,268.0,202.48275862068965,52.215651834504285,13.557315898387328,2.561769535400367,3.9421906693711968,66.0291413116971,51.14827586206897,3231.6206896551726,2419.137931034483,28.413793103448278,95.04766734279919,71.15111561866125,3.9421906693711968,0.10491379310344807,3.9421906693711968,0.7189046653144017,0.6604563894523335,3.9421906693711968,138.47845303867405
1,giraph,https://github.com/apache/giraph.git ,0.931,0.6996,0.4894,1128.0,4313.0,11888.0,49.0,171.0,132.12914444702062,58.55111783193975,4.735702825986913,1.3796718551819411,2.756318108045444,48.67215971613724,16.26366412235007,7711.551020408163,3618.0204081632655,23.020408163265305,87.61094365870623,41.104335729190815,2.756318108045444,0.1723092974727584,2.756318108045444,0.7176559239508455,0.5175770925110147,2.756318108045444,211.5010711735301
2,java-design-patterns,https://github.com/iluwatar/java-design-patterns.git ,0.9327,0.7057,0.4981,3713.0,6265.0,34138.0,505.0,126.0,51.32051077414206,76.57109073359074,10.22320686787746,1.5004088837550884,5.449002394253791,27.461942354105634,8.833869000791445,854.1960396039603,367.6772277227723,7.352475247524753,68.8537909018356,29.637190742218674,5.449002394253791,0.32908986432562276,5.449002394253791,0.6569577015163599,0.512951316839585,5.449002394253791,2204.402623612513
3,opengrok,https://github.com/oracle/opengrok.git ,0.8,0.3278,0.1074,6975.0,7679.0,32957.0,152.0,219.0,78.27568693840344,53.53682211458851,8.539039574538462,1.7252901088849177,4.291834874332595,29.603569316469,12.959348338215117,3376.5789473684213,1876.6842105263158,45.88815789473684,66.83682771194167,37.147545253288186,4.291834874332595,0.14681091287928424,4.291834874332595,0.4873629378825361,0.4046073707513994,4.291834874332595,574.3779494963433
4,takes,https://github.com/yegor256/takes.git,0.8812,0.5312,0.2822,2764.0,1000.0,11920.0,116.0,119.0,48.892,52.23268398268399,13.477171173312186,1.995959681714864,11.92,26.958574033712512,12.326106363128678,950.301724137931,484.12068965517244,23.82758620689655,110.235,56.158,11.92,0.4528409999999997,11.92,0.809860000000001,0.6355799999999989,11.92,2162.221505376344
5,Firestorm,https://github.com/Tencent/Firestorm.git ,0.9311,0.6997,0.4895,141.0,461.0,1642.0,14.0,39.0,34.70498915401301,81.82411508244842,11.528826530612244,1.320617704782564,3.561822125813449,55.849276934201015,6.909983472781738,4709.214285714285,692.6428571428571,10.071428571428571,143.01301518438177,21.03470715835141,3.561822125813449,0.39965292841648553,3.561822125813449,0.8781127982646428,0.5755097613882864,3.561822125813449,278.2411504424779
6,checkstyle,https://github.com/checkstyle/checkstyle.git ,0.7614,0.2559,0.0655,14573.0,16618.0,94226.0,540.0,284.0,64.39397039354917,55.6222111042693,6.815740198614651,1.4341930679231487,5.67011674088338,36.422816044898745,13.063947166190948,3114.175925925926,1579.9722222222222,26.987037037037037,101.19478878324708,51.341015766036826,5.67011674088338,0.2799237573715199,5.67011674088338,0.7352172343242195,0.5537669996389468,5.67011674088338,1205.55859375
7,glide,https://github.com/bumptech/glide.git,0.9209,0.6622,0.4385,2766.0,4026.0,19702.0,191.0,146.0,97.44510680576255,58.884642787767795,14.274964956580408,2.4351715561192195,4.893691008445106,41.48665468254188,24.094221069540136,1781.8795811518326,1108.7120418848167,14.481675392670157,84.53527074018878,52.599105812220564,4.893691008445106,0.1085777446597118,4.893691008445106,0.6453924490809742,0.5731346249379061,4.893691008445106,500.22225117248564
8,javaparser,https://github.com/javaparser/javaparser.git ,0.8193,0.3691,0.1362,6568.0,10044.0,48352.0,268.0,159.0,83.67064914376742,50.560332090367424,10.08412777850347,1.841112420881152,4.8140183193946635,43.55138881756349,19.493857709013884,2930.1380597014927,1537.4402985074628,24.507462686567163,78.1836917562724,41.02289924332935,4.8140183193946635,0.12357467144564041,4.8140183193946635,0.5253006770211075,0.40063420947829526,4.8140183193946635,1012.5274932051015
9,opennlp,https://github.com/apache/opennlp.git,0.9493,0.7708,0.5941,2233.0,5217.0,18169.0,80.0,170.0,123.5813686026452,60.56501566951567,5.849639330529602,1.664668324399238,3.482652865631589,96.16776225646692,59.869477491692756,9742.425,5601.45,27.9125,149.3950546290972,85.89534215066129,3.482652865631589,0.15190147594403125,3.482652865631589,0.7457657657657649,0.6560417864673189,3.482652865631589,1368.9729462875198
